"slug","title_tr","top_category_slug","mapping_confidence","decision","main_category","reason"
"service-kaporta-boya","Kaporta Boya","service-construction-renovation","medium","manual_review","","no_match"
"service-karavan-tadilat","Karavan Tadilat","service-construction-renovation","medium","manual_review","","no_match"
"service-katlanir-cam","Katlanir Cam","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-kayrak-tasi-doseme","Kayrak Tasi Doseme","service-construction-renovation","medium","manual_review","","no_match"
"service-kedi-sinekligi","Kedi Sinekligi","service-pets-garden","medium","manual_review","","no_match"
"service-kedi-teli-balkon-kapisi","Kedi Teli Balkon Kapisi","service-pets-garden","medium","manual_review","","no_match"
"service-kina-fotograf-cekimi","Kina Fotograf Cekimi","service-events-organization","medium","manual_review","Organizasyon Hizmetleri|Fotograf Video","multi_match"
"service-kisisel-gelisim-egitimi","Kisisel Gelisim Egitimi","service-education-lessons","medium","manual_review","","no_match"
"service-kombi-degisimi","Kombi Degisimi","service-plumbing-electric-hvac","medium","manual_review","","no_match"
"service-kombi-su-akitiyor","Kombi Su Akitiyor","service-plumbing-electric-hvac","medium","manual_review","","no_match"
"service-konteyner-ofis-yapimi","Konteyner Ofis Yapimi","service-home-furniture-wood","medium","manual_review","","no_match"
"service-kripto-para-danismani","Kripto Para Danismani","service-business-consulting","medium","manual_review","","no_match"
"service-krom-balkon-korkuluk","Krom Balkon Korkuluk","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-kutu-baski","Kutu Baski","service-print-sign-ad","medium","manual_review","","no_match"
"service-lambri-duvar-kaplama","Lambri Duvar Kaplama","service-construction-renovation","medium","manual_review","","no_match"
"service-laptop-fan-temizligi","Laptop Fan Temizligi","service-home-cleaning","medium","manual_review","","no_match"
"service-laptop-klavye-degisimi","Laptop Klavye Degisimi","service-repair-maintenance","medium","manual_review","","no_match"
"service-linkedin-profil-duzenleme","Linkedin Profil Duzenleme","service-pets-garden","medium","manual_review","","no_match"
"service-l-koltuk-kaplama","L Koltuk Kaplama","service-auto-services","medium","manual_review","","no_match"
"service-logar-temizleme","Logar Temizleme","service-home-cleaning","medium","manual_review","","no_match"
"service-makineli-alci-siva","Makineli Alci Siva","service-construction-renovation","medium","manual_review","","no_match"
